# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	61799
#@/user_id	PC-Windows
bian jie 	便捷	c=1 d=1.18515e-116 t=61799
bian jie 	邊界	c=3 d=5.15785e-06 t=61799
bian jie qi 	邊界其	c=1 d=4.35294e-10 t=61799
bian ju 	邊距	c=1 d=1.18628e-39 t=61799
bian kuang 	邊框	c=18 d=0.277083 t=61799
bian lan 	邊欄	c=2 d=1.17237e-42 t=61799
bian li 	遍歷	c=7 d=5.4626e-05 t=61799
bian liang 	變量	c=49 d=0.000204377 t=61799
bian liang en ding er 	變量摁釘兒	c=1 d=1.06655e-52 t=61799
bian ma 	編碼	c=43 d=0.0875977 t=61799
bian ma qi 	編碼器	c=2 d=1.67729e-46 t=61799
bian ma wei 	編碼爲	c=1 d=8.38546e-47 t=61799
bian neng 	便能	c=1 d=2.18772e-63 t=61799
bian sheng qi 	變聲期	c=1 d=1.13724e-13 t=61799
bian ti 	變體	c=1 d=7.73392e-66 t=61799
bian wei 	變爲	c=9 d=2.12507e-07 t=61799
bian xian ji fen 	變限積分	c=1 d=3.31641e-75 t=61799
bian xiao 	變小	c=3 d=1.92831e-15 t=61799
bian xie 	編寫	c=22 d=1.41959e-14 t=61799
bian xie guo 	編寫過	c=1 d=1.33539e-79 t=61799
bian xing 	變形	c=2 d=0.360595 t=61799
bian xue 	邊學	c=1 d=3.64567e-71 t=61799
bian yi 	便宜	c=1 d=2.80118e-118 t=61799
bian yi 	編譯	c=31 d=4.84949e-08 t=61799
bian yi qi 	編譯器	c=5 d=1.1818e-24 t=61799
bian yi shi 	編譯時	c=3 d=6.47871e-10 t=61799
bian yi wei 	編譯爲	c=2 d=1.96155e-31 t=61799
bian yu 	便於	c=4 d=6.26173e-23 t=61799
bian yuan 	邊緣	c=6 d=8.98243e-06 t=61799
bian yuan guang 	邊緣光	c=1 d=4.96147e-20 t=61799
bian yuan tou 	邊緣頭	c=1 d=3.91772e-06 t=61799
bian yun xing 	邊運行	c=1 d=9.04962e-32 t=61799
bian zai 	便在	c=1 d=5.04605e-13 t=61799
bian zao 	編造	c=3 d=1.39664e-31 t=61799
bian zhi 	編制	c=0 d=3.35213e-55 t=61799
bian zhi hao 	編制好	c=1 d=3.36893e-54 t=61799
bian zou 	變奏	c=1 d=6.33888e-20 t=61799
bian zuo 	邊做	c=1 d=3.66395e-71 t=61799
biao 	標	c=2 d=3.01758e-23 t=61799
biao 	表	c=38 d=1.28607e-10 t=61799
biao bian hao 	表編號	c=1 d=7.77584e-12 t=61799
biao chi 	標尺	c=1 d=1.9327e-46 t=61799
biao da 	表達	c=13 d=6.4002e-08 t=61799
biao da shi 	表達式	c=12 d=1.6371e-05 t=61799
biao dian 	標點	c=4 d=1.21195e-15 t=61799
biao dian fu hao 	標點符號	c=1 d=1.49025e-17 t=61799
biao ge 	表格	c=49 d=2.30004e-05 t=61799
biao hao 	標號	c=2 d=5.43055e-24 t=61799
biao he 	表和	c=1 d=3.66481e-15 t=61799
biao ji 	標記	c=12 d=0.109789 t=61799
biao jiao 	鰾膠	c=1 d=5.45835e-84 t=61799
biao mian 	表面	c=3 d=7.67659e-84 t=61799
biao ming 	標明	c=1 d=2.96691e-59 t=61799
biao qi 	標齊	c=2 d=3.67764e-24 t=61799
biao qian 	標籤	c=47 d=0.000871657 t=61799
biao qian lan 	標籤欄	c=1 d=7.53423e-23 t=61799
biao qian ye 	標籤頁	c=4 d=3.66664e-07 t=61799
biao qing 	表情	c=8 d=6.48997e-46 t=61799
biao sao miao 	表掃描	c=0 d=1.03056e-61 t=61799
biao she ji 	表設計	c=1 d=2.38108e-30 t=61799
biao shi 	標識	c=3 d=2.8903e-16 t=61799
biao shi 	表示	c=22 d=1.60885e-06 t=61799
biao shu 	表述	c=9 d=3.82933e-08 t=61799
biao ti 	標題	c=34 d=1.26906e-11 t=61799
biao ti hang 	標題行	c=2 d=5.4931e-14 t=61799
biao ti lan 	標題欄	c=1 d=5.10147e-112 t=61799
biao xian 	表現	c=1 d=5.81188e-87 t=61799
biao xian chu 	表現出	c=1 d=2.5327e-21 t=61799
biao xiang 	表項	c=2 d=4.52707e-89 t=61799
biao yu 	表語	c=1 d=4.6281e-84 t=61799
biao zheng 	表徵	c=5 d=5.72888e-68 t=61799
biao zhi 	標識	c=2 d=4.64829e-47 t=61799
biao zhu 	標注	c=9 d=9.7126e-52 t=61799
biao zhu hao 	標注號	c=1 d=5.47079e-52 t=61799
biao zhu wei 	標注爲	c=1 d=1.29191e-72 t=61799
biao zhun 	標準	c=8 d=2.18598e-16 t=61799
biao zhun hua 	標準化	c=4 d=1.06914e-23 t=61799
bie 	別	c=10 d=0.000893825 t=61799
bie dong 	別動	c=1 d=6.732e-22 t=61799
bie e 	別呃	c=1 d=1.94973e-61 t=61799
bie jing 	別經	c=1 d=1.48787e-57 t=61799
bie niu 	別扭	c=0 d=1.2154e-90 t=61799
bie pa 	別怕	c=1 d=2.75411e-07 t=61799
bie wa 	別挖	c=1 d=1.92567e-62 t=61799
bie zhuang 	別裝	c=1 d=3.55203e-59 t=61799
bie zou 	別走	c=1 d=9.80501e-34 t=61799
bin yu 	賓語	c=5 d=8.34849e-91 t=61799
bing 	並	c=171 d=0.00424016 t=61799
bing 	兵	c=7 d=2.44178e-32 t=61799
bing bu 	並不	c=3 d=5.59006e-41 t=61799
bing bu neng 	並不能	c=1 d=8.15289e-69 t=61799
bing bu ru 	並不如	c=1 d=0.000241172 t=61799
bing bu shi 	並不是	c=3 d=1.44459e-52 t=61799
bing dian 	冰點	c=38 d=6.26604e-50 t=61799
bing dong 	冰凍	c=1 d=8.36835e-23 t=61799
bing fa 	併發	c=18 d=6.9107e-23 t=61799
bing fang 	病房	c=1 d=5.85613e-88 t=61799
bing fei 	並非	c=2 d=1.36849e-68 t=61799
bing huo jiang 	並獲獎	c=1 d=3.16993e-73 t=61799
bing ji 	並集	c=1 d=6.55308e-58 t=61799
bing jiang 	並將	c=3 d=2.22433e-23 t=61799
bing jiang qi 	並將其	c=4 d=8.17537e-72 t=61799
bing li 	病歷	c=16 d=1.74794e-70 t=61799
bing lie 	並列	c=1 d=5.43113e-84 t=61799
bing mao 	並茂	c=1 d=5.51884e-96 t=61799
bing mei you 	並沒有	c=12 d=1.85914e-13 t=61799
bing qie 	並且	c=20 d=0.185646 t=61799
bing qing 	病情	c=1 d=9.55905e-88 t=61799
bing tu 	餅圖	c=1 d=2.11608e-83 t=61799
bing xing 	並行	c=4 d=7.96022e-23 t=61799
bing zai 	並在	c=3 d=1.44214e-72 t=61799
bing zheng 	病症	c=2 d=1.7917e-87 t=61799
bing zhui 	冰錐	c=1 d=4.75432e-77 t=61799
bo 	伯	c=0 d=1.02626e-100 t=61799
bo 	博	c=3 d=5.57165e-61 t=61799
bo 	播	c=2 d=5.62765e-61 t=61799
bo 	波	c=1 d=3.84068e-37 t=61799
bo dong 	波動	c=2 d=3.23839e-89 t=61799
bo fang 	播放	c=31 d=0.00177128 t=61799
bo fang liang 	播放亮	c=1 d=2.92264e-88 t=61799
bo ke 	博客	c=1 d=1.72602e-39 t=61799
bo luo 	菠蘿	c=0 d=1.0799e-23 t=61799
bo nu li 	伯努力	c=1 d=1.03141e-99 t=61799
bo sha 	薄紗	c=1 d=2.44268e-07 t=61799
bo shi 	博士	c=4 d=1.06804e-28 t=61799
bo shi zun 	博士尊	c=1 d=1.78745e-68 t=61799
bo shu 	波數	c=1 d=1.56528e-36 t=61799
bo wen 	波紋	c=1 d=0.000934966 t=61799
bu 	不	c=52 d=0.605591 t=61799
bu 	布	c=1 d=2.75337e-92 t=61799
bu 	步	c=1 d=6.25195e-34 t=61799
bu 	補	c=3 d=7.73286e-35 t=61799
bu 	部	c=1 d=5.94343e-115 t=61799
bu an 	不安	c=1 d=9.73289e-06 t=61799
bu an quan 	不安全	c=1 d=1.59268e-93 t=61799
bu bao cuo 	不報錯	c=1 d=2.21512e-33 t=61799
bu bao han 	不包含	c=1 d=2.28654e-24 t=61799
bu bei 	不被	c=1 d=1.90056e-84 t=61799
bu bi 	不必	c=2 d=1.46468e-78 t=61799
bu bian 	不變	c=12 d=6.35648e-08 t=61799
bu bie niu 	不別扭	c=1 d=1.22149e-89 t=61799
bu bo 	不播	c=0 d=5.0928e-93 t=61799
bu bo fang 	不播放	c=1 d=5.11834e-92 t=61799
bu cheng gong 	不成功	c=1 d=1.43352e-31 t=61799
bu chong 	補充	c=12 d=6.30619e-18 t=61799
bu chong fu 	不重複	c=1 d=1.41281e-95 t=61799
bu chong wan 	補充玩	c=2 d=2.76886e-11 t=61799
bu chu 	不出	c=2 d=0.145148 t=61799
bu chu 	補出	c=3 d=3.45169e-22 t=61799
bu chuan mo 	不穿模	c=1 d=6.8203e-87 t=61799
bu chuang jian 	不創建	c=1 d=8.89102e-118 t=61799
bu cun zai 	不存在	c=11 d=4.82483e-15 t=61799
bu cuo 	不錯	c=4 d=2.80622e-51 t=61799
bu da 	不搭	c=2 d=0.000336941 t=61799
bu da 	不達	c=1 d=2.14776e-52 t=61799
bu da guai 	不打怪	c=1 d=4.3565e-49 t=61799
bu dai 	不帶	c=2 d=4.02486e-88 t=61799
bu dao 	不到	c=1 d=2.26927e-24 t=61799
bu de bu 	不得不	c=1 d=1.0082e-96 t=61799
bu deng shi 	不等式	c=1 d=7.41527e-71 t=61799
bu diao luo 	不掉落	c=2 d=3.12198e-62 t=61799
bu dong 	不動	c=6 d=4.05865e-10 t=61799
bu dong 	不懂	c=1 d=5.40054e-47 t=61799
bu dou shi 	不都是	c=1 d=9.09344e-30 t=61799
bu dui 	不對	c=11 d=0.0898471 t=61799
bu dui ba 	不對吧	c=1 d=0.000227127 t=61799
bu duo 	不多	c=2 d=1.30162e-13 t=61799
